"school_type","board_name","osslt_passes","esl_students","se_students","gifted_students","low_income_household","no_degree_parents"
"public","algoma dsb","71","0","25","0","15","10"
"public","algoma dsb","53","0","20","0","10","10"
"public","algoma dsb","61","0","30","0","15","10"
"public","algoma dsb","68","3","19","0","12","6"
"public","algoma dsb","57","5","30","0","5","0"
"public","algoma dsb","72","2","20","1","16","6"
"public","algoma dsb","57","0","40","0","20","10"
"public","algoma dsb","58","10","35","0","15","0"
"catholic","algonquin and lakeshore cdsb","77","5","25","0","8","1"
"catholic","algonquin and lakeshore cdsb","86","5","20","0","20","0"
"catholic","algonquin and lakeshore cdsb","87","10","28","0","15","4"
"catholic","algonquin and lakeshore cdsb","83","0","30","0","15","5"
"catholic","algonquin and lakeshore cdsb","65","2","25","0","12","5"
"public","avon maitland dsb","56","0","30","0","10","0"
"public","avon maitland dsb","75","2","26","2","16","20"
"public","avon maitland dsb","81","5","25","10","10","5"
"public","avon maitland dsb","77","14","18","2","8","18"
"public","avon maitland dsb","94","0","20","0","10","0"
"public","avon maitland dsb","64","0","30","0","10","10"
"public","avon maitland dsb","72","5","20","0","5","0"
"public","bluewater dsb","46","0","30","0","10","10"
"public","bluewater dsb","80","5","30","0","10","0"
"public","bluewater dsb","67","2","27","0","12","10"
"public","bluewater dsb","74","2","35","0","12","14"
"public","bluewater dsb","70","4","29","0","9","5"
"public","bluewater dsb","91","5","32","1","15","7"
"public","bluewater dsb","81","0","40","0","10","10"
"public","bluewater dsb","91","9","31","1","12","6"
"public","bluewater dsb","70","0","40","0","10","10"
"catholic","brant haldimand norfolk cdsb","79","2","17","2","13","5"
"catholic","brant haldimand norfolk cdsb","83","3","18","2","11","8"
"catholic","brant haldimand norfolk cdsb","86","4","14","3","11","4"
"catholic","bruce-grey cdsb","80","3","32","0","11","10"
"catholic","bruce-grey cdsb","63","1","22","0","13","7"
"catholic","cdsb of eastern ontario","81","13","30","0","18","7"
"catholic","cdsb of eastern ontario","78","4","38","0","9","2"
"catholic","cdsb of eastern ontario","58","10","40","0","10","0"
"catholic","cdsb of eastern ontario","81","5","35","0","15","0"
"catholic","cdsb of eastern ontario","85","9","33","0","16","9"
"catholic","cdsb of eastern ontario","90","5","30","0","15","10"
"catholic","cdsb of eastern ontario","91","0","30","0","10","0"
"catholic","cdsb of eastern ontario","8","0","100","0","20","0"
"catholic","cdsb of eastern ontario","91","0","25","0","5","0"
"public","cep de l'est de l'ontario","96","76","18","0","20","7"
"public","cep de l'est de l'ontario","92","87","15","0","10","3"
"public","cep de l'est de l'ontario","79","60","0","0","15","10"
"public","cep de l'est de l'ontario","97","90","20","0","15","5"
"public","cep de l'est de l'ontario","96","85","13","0","22","8"
"public","cep de l'est de l'ontario","100","60","30","0","10","0"
"public","cep de l'est de l'ontario","94","75","25","0","10","5"
"public","cep de l'est de l'ontario","87","90","0","0","30","15"
"public","cs viamonde","100","80","10","0","30","15"
"public","cs viamonde","91","80","15","0","30","10"
"public","cs viamonde","80","50","20","0","20","10"
"public","cs viamonde","89","40","15","0","20","5"
"public","cs viamonde","96","80","20","0","20","5"
"public","cs viamonde","83","70","20","0","20","10"
"public","cs viamonde","92","70","10","0","15","5"
"public","cs viamonde","72","30","20","0","15","5"
"public","cs viamonde","89","40","10","0","10","10"
"public","cs viamonde","86","55","20","0","10","0"
"public","cs viamonde","81","70","10","0","20","10"
"public","cs viamonde","92","65","10","0","20","10"
"public","cs viamonde","88","90","15","0","30","15"
"catholic","cs catholique monavenir","86","70","20","0","20","5"
"catholic","cs catholique monavenir","91","80","10","5","25","15"
"catholic","cs catholique monavenir","89","45","20","5","10","0"
"catholic","cs catholique monavenir","90","85","15","0","30","10"
"catholic","cs catholique monavenir","94","65","20","5","5","0"
"catholic","cs catholique monavenir","93","60","15","0","15","0"
"catholic","cs catholique monavenir","94","75","15","0","10","0"
"catholic","cs catholique monavenir","98","70","15","0","20","10"
"catholic","cs catholique monavenir","88","80","25","5","15","5"
"catholic","cs catholique monavenir","94","85","10","0","10","0"
"catholic","cs catholique monavenir","94","80","10","0","10","0"
"public","cs public du grand nord de l'ontario","79","75","40","0","10","0"
"public","cs public du grand nord de l'ontario","90","70","25","0","10","0"
"public","cs public du nord-est de l'ontario","57","70","50","0","10","10"
"public","cs public du nord-est de l'ontario","64","80","30","0","10","10"
"public","cs public du nord-est de l'ontario","62","80","30","0","10","10"
"public","cs public du nord-est de l'ontario","56","50","40","0","10","0"
"catholic","csdc franco-nord","82","65","25","0","15","0"
"catholic","csdc franco-nord","82","90","25","0","15","10"
"catholic","csdc de l'est ontarien","98","100","15","0","0","0"
"catholic","csdc de l'est ontarien","95","97","22","2","8","3"
"catholic","csdc de l'est ontarien","83","90","25","5","15","10"
"catholic","csdc de l'est ontarien","81","95","30","0","20","5"
"catholic","csdc de l'est ontarien","86","93","27","3","9","1"
"catholic","csdc de l'est ontarien","90","100","25","0","10","5"
"catholic","csdc de l'est ontarien","90","100","30","5","20","0"
"catholic","csdc des aurores boreales","94","40","25","0","5","5"
"catholic","csdc des grandes rivieres","78","80","15","0","5","10"
"catholic","csdc des grandes rivieres","83","90","15","0","20","5"
"catholic","csdc des grandes rivieres","89","100","25","0","10","10"
"catholic","csdc des grandes rivieres","81","85","25","0","10","10"
"catholic","csdc des grandes rivieres","79","81","22","0","10","9"
"catholic","csdc des grandes rivieres","89","70","30","0","20","0"
"catholic","csdc du centre-est de l'ontario","94","40","20","10","10","10"
"catholic","csdc du centre-est de l'ontario","92","85","24","0","6","1"
"catholic","csdc du centre-est de l'ontario","87","80","20","0","25","10"
"catholic","csdc du centre-est de l'ontario","90","91","21","0","28","9"
"catholic","csdc du centre-est de l'ontario","86","78","16","0","22","10"
"catholic","csdc du centre-est de l'ontario","94","85","18","0","6","3"
"catholic","csdc du centre-est de l'ontario","100","60","30","0","10","5"
"catholic","csdc du centre-est de l'ontario","92","60","20","0","5","0"
"catholic","csdc du centre-est de l'ontario","95","85","20","0","5","5"
"catholic","csdc du centre-est de l'ontario","96","62","22","0","6","1"
"catholic","csdc du centre-est de l'ontario","94","64","17","0","8","2"
"catholic","csdc du centre-est de l'ontario","71","90","70","0","20","10"
"catholic","csdc du nouvel-ontario","90","88","8","0","11","2"
"catholic","csdc du nouvel-ontario","80","50","20","0","20","10"
"catholic","csdc du nouvel-ontario","73","80","25","0","10","5"
"catholic","csdc du nouvel-ontario","67","30","30","0","20","10"
"catholic","csdc du nouvel-ontario","73","60","30","0","10","10"
"catholic","csdc du nouvel-ontario","80","85","10","0","5","0"
"catholic","csdc du nouvel-ontario","75","80","35","0","10","0"
"catholic","conseil scolaire catholique providence","97","40","30","0","15","5"
"catholic","conseil scolaire catholique providence","92","55","20","0","20","10"
"catholic","conseil scolaire catholique providence","68","20","20","0","0","10"
"catholic","conseil scolaire catholique providence","96","30","20","0","10","0"
"catholic","conseil scolaire catholique providence","83","15","40","0","15","5"
"catholic","conseil scolaire catholique providence","84","25","27","1","10","7"
"public","dsb niagara","84","9","18","0","12","5"
"public","dsb niagara","83","0","45","0","10","0"
"public","dsb niagara","89","5","30","0","20","10"
"public","dsb niagara","80","3","19","0","5","1"
"public","dsb niagara","64","0","60","0","25","10"
"public","dsb niagara","92","10","19","1","12","6"
"public","dsb niagara","84","5","14","0","11","6"
"public","dsb niagara","85","3","23","1","18","5"
"public","dsb niagara","85","4","18","0","8","2"
"public","dsb niagara","82","8","25","0","21","9"
"public","dsb niagara","61","0","40","0","15","5"
"public","dsb niagara","87","17","15","0","16","6"
"public","dsb niagara","52","20","67","0","26","11"
"public","dsb niagara","75","6","45","1","21","7"
"public","dsb niagara","73","5","30","0","17","8"
"public","dsb niagara","75","8","18","1","16","4"
"public","dsb niagara","84","31","22","0","17","7"
"public","dsb ontario north east","42","0","30","0","10","15"
"public","dsb ontario north east","73","0","40","0","20","20"
"public","dsb ontario north east","57","0","35","0","15","10"
"public","dsb ontario north east","53","10","35","0","20","0"
"public","dsb ontario north east","55","0","40","0","20","5"
"public","dsb ontario north east","65","0","50","0","10","5"
"public","dsb ontario north east","78","3","39","0","13","7"
"public","dsb ontario north east","63","2","27","0","12","9"
"catholic","dufferin-peel cdsb","76","29","17","0","21","16"
"catholic","dufferin-peel cdsb","86","28","14","0","10","11"
"catholic","dufferin-peel cdsb","76","25","14","0","16","6"
"catholic","dufferin-peel cdsb","81","52","11","0","29","8"
"catholic","dufferin-peel cdsb","94","35","6","0","15","9"
"catholic","dufferin-peel cdsb","87","32","19","0","15","4"
"catholic","dufferin-peel cdsb","82","38","18","0","22","7"
"catholic","dufferin-peel cdsb","85","28","15","1","15","6"
"catholic","dufferin-peel cdsb","84","18","13","2","13","7"
"catholic","dufferin-peel cdsb","89","25","18","1","10","4"
"catholic","dufferin-peel cdsb","86","49","18","0","19","6"
"catholic","dufferin-peel cdsb","79","6","18","0","7","5"
"catholic","dufferin-peel cdsb","90","31","19","0","17","2"
"catholic","dufferin-peel cdsb","74","19","22","0","14","8"
"catholic","dufferin-peel cdsb","87","21","19","0","10","7"
"catholic","dufferin-peel cdsb","90","31","11","3","15","5"
"catholic","dufferin-peel cdsb","83","27","13","1","17","7"
"catholic","dufferin-peel cdsb","88","18","17","1","10","5"
"catholic","dufferin-peel cdsb","81","14","15","0","11","9"
"catholic","dufferin-peel cdsb","78","38","18","0","19","5"
"catholic","dufferin-peel cdsb","79","35","15","0","20","5"
"catholic","dufferin-peel cdsb","75","23","13","0","15","10"
"catholic","dufferin-peel cdsb","84","49","13","0","20","3"
"catholic","dufferin-peel cdsb","79","6","18","0","7","4"
"catholic","dufferin-peel cdsb","28","30","45","0","20","5"
"catholic","dufferin-peel cdsb","87","18","14","0","11","7"
"catholic","durham cdsb","91","6","21","0","10","4"
"catholic","durham cdsb","87","10","30","0","12","7"
"catholic","durham cdsb","87","8","18","0","10","2"
"catholic","durham cdsb","53","10","40","0","20","5"
"catholic","durham cdsb","70","7","24","0","14","6"
"catholic","durham cdsb","80","7","17","0","13","7"
"catholic","durham cdsb","84","8","19","0","10","4"
"public","durham dsb","75","14","21","1","12","6"
"public","durham dsb","87","11","25","14","10","2"
"public","durham dsb","61","5","30","0","10","0"
"public","durham dsb","85","3","21","3","5","3"
"public","durham dsb","88","14","14","4","8","2"
"public","durham dsb","87","12","21","2","8","3"
"public","durham dsb","50","5","40","0","15","10"
"public","durham dsb","75","5","34","1","17","6"
"public","durham dsb","38","10","40","0","30","10"
"public","durham dsb","83","10","22","3","13","4"
"public","durham dsb","85","30","16","1","13","6"
"public","durham dsb","82","14","20","2","11","2"
"public","durham dsb","86","11","22","9","19","4"
"public","durham dsb","91","19","15","17","10","6"
"public","durham dsb","77","23","23","1","12","4"
"public","durham dsb","71","2","27","4","11","1"
"public","durham dsb","80","10","25","1","17","8"
"public","durham dsb","79","17","17","3","9","2"
"public","durham dsb","89","2","23","5","7","0"
"public","grand erie dsb","72","2","18","0","14","3"
"public","grand erie dsb","63","3","27","0","8","1"
"public","grand erie dsb","57","3","15","0","12","8"
"public","grand erie dsb","67","5","30","0","15","10"
"public","grand erie dsb","56","5","30","0","5","5"
"public","grand erie dsb","68","4","20","1","6","2"
"public","grand erie dsb","72","8","19","0","14","4"
"public","grand erie dsb","72","1","17","0","10","4"
"public","grand erie dsb","46","5","32","0","23","9"
"public","grand erie dsb","67","2","30","1","12","6"
"public","grand erie dsb","0","5","80","0","20","10"
"public","grand erie dsb","47","35","25","0","10","35"
"public","grand erie dsb","64","5","30","0","10","0"
"public","greater essex county dsb","76","4","20","0","8","4"
"public","greater essex county dsb","84","1","19","0","6","3"
"public","greater essex county dsb","81","3","15","1","8","0"
"public","greater essex county dsb","64","37","14","1","39","17"
"public","greater essex county dsb","81","4","19","0","8","13"
"public","greater essex county dsb","66","31","15","1","14","28"
"public","greater essex county dsb","75","22","21","1","19","8"
"public","greater essex county dsb","91","10","15","0","10","3"
"public","greater essex county dsb","90","10","18","1","8","2"
"public","greater essex county dsb","84","48","9","1","20","5"
"public","greater essex county dsb","62","16","27","0","28","11"
"public","greater essex county dsb","81","8","25","0","28","10"
"public","greater essex county dsb","10","0","100","0","15","10"
"public","greater essex county dsb","39","59","35","0","40","16"
"catholic","halton cdsb","87","19","19","3","11","3"
"catholic","halton cdsb","86","33","10","4","11","4"
"catholic","halton cdsb","81","5","17","2","4","2"
"catholic","halton cdsb","88","17","18","0","7","1"
"catholic","halton cdsb","86","16","16","3","12","1"
"catholic","halton cdsb","82","11","20","1","7","2"
"catholic","halton cdsb","85","30","11","1","16","3"
"catholic","halton cdsb","91","24","14","1","13","1"
"catholic","halton cdsb","83","20","12","3","13","2"
"public","halton dsb","93","45","10","20","14","1"
"public","halton dsb","80","10","35","0","5","0"
"public","halton dsb","78","20","21","2","8","5"
"public","halton dsb","78","33","20","1","16","4"
"public","halton dsb","75","40","27","1","11","5"
"public","halton dsb","87","30","19","1","8","1"
"public","halton dsb","93","43","16","0","13","1"
"public","halton dsb","17","5","70","5","15","5"
"public","halton dsb","80","11","30","4","5","2"
"public","halton dsb","94","49","12","10","14","1"
"public","halton dsb","76","16","31","2","8","4"
"public","halton dsb","91","42","15","4","12","2"
"public","halton dsb","85","15","20","14","8","1"
"public","halton dsb","92","37","12","10","9","0"
"public","halton dsb","83","36","20","2","11","2"
"public","halton dsb","92","67","14","2","16","3"
"catholic","hamilton-wentworth cdsb","82","18","15","1","14","5"
"catholic","hamilton-wentworth cdsb","82","11","15","1","9","5"
"catholic","hamilton-wentworth cdsb","68","30","22","1","33","20"
"catholic","hamilton-wentworth cdsb","78","26","17","0","19","8"
"catholic","hamilton-wentworth cdsb","74","15","17","1","12","8"
"catholic","hamilton-wentworth cdsb","81","11","21","1","11","3"
"catholic","hamilton-wentworth cdsb","82","26","11","1","16","7"
"public","hamilton-wentworth dsb","83","19","21","2","8","4"
"public","hamilton-wentworth dsb","79","6","28","4","9","2"
"public","hamilton-wentworth dsb","67","43","23","1","25","9"
"public","hamilton-wentworth dsb","87","40","16","2","11","8"
"public","hamilton-wentworth dsb","81","31","20","1","11","5"
"public","hamilton-wentworth dsb","64","13","23","2","18","7"
"public","hamilton-wentworth dsb","60","23","32","0","19","8"
"public","hamilton-wentworth dsb","49","12","34","1","30","17"
"public","hamilton-wentworth dsb","81","9","21","1","8","2"
"public","hamilton-wentworth dsb","84","33","18","7","20","9"
"public","hamilton-wentworth dsb","88","34","10","10","15","7"
"public","hastings & prince edward dsb","81","8","20","0","11","5"
"public","hastings & prince edward dsb","58","7","29","0","16","8"
"public","hastings & prince edward dsb","69","0","30","0","25","10"
"public","hastings & prince edward dsb","60","7","34","0","16","8"
"public","hastings & prince edward dsb","80","0","30","0","20","15"
"public","hastings & prince edward dsb","63","1","28","0","17","2"
"public","hastings & prince edward dsb","58","2","40","0","19","11"
"catholic","huron perth cdsb","67","3","24","1","9","7"
"catholic","huron perth cdsb","79","3","20","1","8","4"
"catholic","huron-superior cdsb","80","3","20","0","15","6"
"public","james bay lowlands ssb","69","0","30","0","10","15"
"public","kawartha pine ridge dsb","84","4","29","0","15","6"
"public","kawartha pine ridge dsb","73","3","28","0","8","3"
"public","kawartha pine ridge dsb","72","1","29","1","18","8"
"public","kawartha pine ridge dsb","76","4","29","0","8","2"
"public","kawartha pine ridge dsb","87","0","25","0","10","0"
"public","kawartha pine ridge dsb","88","2","29","2","11","2"
"public","kawartha pine ridge dsb","76","5","19","0","5","3"
"public","kawartha pine ridge dsb","66","3","34","0","8","2"
"public","kawartha pine ridge dsb","68","1","33","0","10","5"
"public","kawartha pine ridge dsb","73","10","40","0","25","10"
"public","kawartha pine ridge dsb","60","0","45","0","20","5"
"public","kawartha pine ridge dsb","69","0","40","0","10","0"
"public","kawartha pine ridge dsb","74","6","32","0","15","3"
"public","keewatin-patricia dsb","62","1","28","0","8","8"
"public","keewatin-patricia dsb","59","2","25","0","8","6"
"public","keewatin-patricia dsb","58","5","25","0","0","20"
"public","keewatin-patricia dsb","29","5","25","0","0","20"
"catholic","kenora cdsb","66","0","20","0","10","5"
"public","lakehead dsb","78","5","19","0","16","8"
"public","lakehead dsb","78","8","20","0","15","5"
"public","lakehead dsb","82","2","24","0","13","7"
"public","lambton kent dsb","20","5","90","0","20","0"
"public","lambton kent dsb","59","0","20","0","10","5"
"public","lambton kent dsb","81","8","20","1","16","8"
"public","lambton kent dsb","69","5","23","1","22","6"
"public","lambton kent dsb","74","6","48","1","19","6"
"public","lambton kent dsb","78","3","19","1","8","2"
"public","lambton kent dsb","78","0","20","0","10","15"
"public","lambton kent dsb","74","2","22","2","9","3"
"public","lambton kent dsb","86","8","21","2","9","2"
"public","lambton kent dsb","67","5","30","0","10","15"
"public","lambton kent dsb","60","45","15","0","10","25"
"public","lambton kent dsb","57","2","35","0","19","13"
"public","limestone dsb","73","11","31","0","8","2"
"public","limestone dsb","74","0","40","0","5","0"
"public","limestone dsb","85","6","27","0","8","2"
"public","limestone dsb","62","0","50","0","20","10"
"public","limestone dsb","66","4","29","0","5","2"
"public","limestone dsb","78","21","34","0","23","6"
"public","limestone dsb","64","2","34","0","16","4"
"public","limestone dsb","67","0","50","0","30","20"
"public","limestone dsb","72","1","34","0","6","2"
"catholic","london district catholic school board","85","28","9","3","24","9"
"catholic","london district catholic school board","67","0","25","0","10","5"
"catholic","london district catholic school board","72","19","17","1","26","15"
"catholic","london district catholic school board","89","22","11","1","16","5"
"catholic","london district catholic school board","77","15","19","0","21","8"
"catholic","london district catholic school board","81","2","20","1","10","6"
"catholic","london district catholic school board","71","3","26","0","9","7"
"catholic","london district catholic school board","89","5","15","1","10","2"
"catholic","london district catholic school board","80","19","13","1","18","3"
"public","near north dsb","69","2","50","0","21","9"
"public","near north dsb","72","5","28","0","15","4"
"public","near north dsb","55","0","40","0","20","0"
"public","near north dsb","53","5","40","0","15","10"
"public","near north dsb","61","1","39","0","15","6"
"public","near north dsb","68","4","31","0","17","4"
"catholic","niagara cdsb","86","4","20","1","8","2"
"catholic","niagara cdsb","76","15","24","1","18","8"
"catholic","niagara cdsb","77","18","18","0","16","6"
"catholic","niagara cdsb","84","6","23","0","17","5"
"catholic","niagara cdsb","83","7","23","0","16","3"
"catholic","niagara cdsb","82","18","16","2","16","5"
"catholic","niagara cdsb","89","24","17","0","17","6"
"catholic","niagara cdsb","75","14","19","0","14","5"
"catholic","nipissing-parry sound cdsb","78","0","32","0","14","5"
"catholic","northeastern cdsb","69","5","20","0","15","5"
"catholic","ottawa csb","92","11","23","0","7","2"
"catholic","ottawa csb","85","20","24","0","8","1"
"catholic","ottawa csb","83","19","25","0","28","9"
"catholic","ottawa csb","71","42","19","0","27","7"
"catholic","ottawa csb","74","35","25","0","35","15"
"catholic","ottawa csb","89","4","25","0","5","0"
